address,LHIN,licensee,management,home type,short stay,residents council,family council,accreditation,city,postal code,number of beds,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,Pruid,latitude,longitude
101-10Th Street,South West,Hanover Operating Inc.,,For-Profit,No,Yes,Yes,Yes,Hanover, N4N1M9,70.0,35.0,"(31.0, 46.0]",2.0,12.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,the village seniors community,,,,,Hanover,3542029.0,35.0,44.15073139,-81.03582166
1430 Upper Wellington Street,Hamilton Niagara Haldimand Brant (Hnhb),Barton Retirement Inc.,Southrim Development Inc.,For-Profit,No,Yes,Yes,Yes,Hamilton, L9A5H3,102.0,40.0,"(31.0, 46.0]",2.0,24.0,"(23.0, 86.0]",3.0,9.0,"(7.0, 11.0]",2.0,the wellington nursing home,,,,,Hamilton,3525005.0,35.0,43.20948778,-79.8796767
725 Coursol,North East,The West Nipissing General Hospital,,Non-Profit,No,Yes,No,Yes,Sturgeon Falls, P2B2Y6,48.0,14.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,the west nipissing general hospital,,,,,West Nipissing / Nipissing Ouest,3548055.0,35.0,46.37244272,-79.91782482
1860 Lawrence Avenue East,Central East,The Wexford Residence Inc.,,Non-Profit,No,Yes,Yes,Yes,Scarborough, M1R5B1,166.0,56.0,"(46.0, 172.0]",3.0,29.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,the wexford,,0,,Inactive,Toronto,3520005.0,35.0,43.7439777,-79.30345907
13837 Yonge Street,Central,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,No,Yes,No,Yes,Aurora, L4G3G8,84.0,23.0,"(21.0, 31.0]",1.0,15.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,the willows estate nursing home,,,,,Aurora,3519046.0,35.0,43.96549464,-79.45862614
920 Pelham Street,Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,No,Yes,Yes,Yes,Welland, L3C1Y5,121.0,20.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,the woodlands of sunset,,0,,Inactive,Pelham,3526028.0,35.0,43.01741988,-79.28534590000001
1 Overland Drive,Central,Don Mills Foundation For Seniors,,Non-Profit,No,Yes,Yes,No,North York, M3C2C3,136.0,16.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,thompson house,,,,,Toronto,3520005.0,35.0,43.7324901,-79.34677178
186 Thornton Road South,Central East,Revera Long Term Care Inc.,,For-Profit,No,Yes,Yes,Yes,Oshawa, L1J5Y2,154.0,42.0,"(31.0, 46.0]",2.0,21.0,"(16.0, 23.0]",2.0,13.0,"(11.0, 44.0]",3.0,thorntonview,,,,,Oshawa,3518013.0,35.0,43.8859505,-78.8922213
16 Fort Street P.O. Box 160,Erie St. Clair,"Arch Long Term Care Lp By Its General Partner, Arch Long Term Care Mgp, By Its Partners, Arch Long Term Care Gp Inc. And Arch Capital Management Corporation",Universalcare Canada Inc.,For-Profit,Yes,Yes,Yes,Yes,Tilbury, N0P2L0,75.0,33.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,tilbury manor nursing home,,,,,Chatham-Kent,3536020.0,35.0,42.25877139,-82.43044492
59 Lawson Road,Central East,Royal Canadian Legion District 'd' Care Centres,Universalcare Canada Inc.,Non-Profit,Yes,Yes,No,No,Toronto, M1C2J1,100.0,17.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,tony stacey centre for veterans' care,<5,0,0,Active,Toronto,3520005.0,35.0,43.78323942,-79.16339403
7650 Snake Island Road,Champlain,Township Of Osgoode Care Centre,,Non-Profit,Yes,Yes,Yes,No,Metcalfe, K0A2P0,100.0,21.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,township of osgoode care centre,,,,,Ottawa,3506008.0,35.0,45.22188813,-75.50384886
195 Bay Street,South East,Trent Valley Lodge Limited,,For-Profit,No,Yes,Yes,Yes,Trenton, K8V1H9,102.0,45.0,"(31.0, 46.0]",2.0,37.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,trent valley lodge,,,,,Quinte West,3512015.0,35.0,44.10291195,-77.55773544
550 Philip Place,South West,Revera Long Term Care Inc.,,For-Profit,No,Yes,Yes,Yes,Kincardine, N2Z3A6,40.0,23.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,trillium court,,,,,Kincardine,3541024.0,35.0,44.18149597,-81.62055194
12 Grace Avenue,North Simcoe Muskoka,Corporation Of The County Of Simcoe,,Municipal,Yes,Yes,Yes,Yes,Orillia, L3V2K2,122.0,23.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,trillium manor home for the aged,,,,,Orillia,3543052.0,35.0,44.62900615,-79.42526219
800 Edgar Street,South East,Specialty Care East Inc.,,For-Profit,Yes,Yes,Yes,Yes,Kingston, K7M8S4,190.0,81.0,"(46.0, 172.0]",3.0,40.0,"(23.0, 86.0]",3.0,17.0,"(11.0, 44.0]",3.0,trillium retirement and care community,,,,,Kingston,3510010.0,35.0,44.25040282,-76.55202522
1221 Michigan Avenue,Erie St. Clair,S & R Nursing Homes Ltd.,,For-Profit,Yes,Yes,No,Yes,Sarnia, N7S3Y3,152.0,36.0,"(31.0, 46.0]",2.0,11.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,trillium villa nursing home,,,,,Sarnia,3538030.0,35.0,42.99848453,-82.36358616
2727 Kingsway Drive,Waterloo Wellington,Lutheran Homes Kitchener-waterloo,,Non-Profit,No,Yes,Yes,Yes,Kitchener, N2C1A7,150.0,54.0,"(46.0, 172.0]",3.0,21.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,trinity village care centre,29,14,38,Active,Kitchener,3530013.0,35.0,43.4298142,-80.4417755
200 Dawes Road,Toronto Central,Toronto Long-term Care Homes And Services,,Municipal,Yes,Yes,Yes,Yes,Toronto, M4C5M8,187.0,24.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,true davidson acres,,,,,Toronto,3520005.0,35.0,43.6960602,-79.29840606
70 Kawehnoke Apartments Road,Champlain,Mohawk Council Of Akwesasne,,Non-Profit,No,Yes,No,Yes,Akwesasne, K6H5R7,50.0,21.0,"(0.0, 21.0]",0.0,14.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,tsiionkwanonhsote,,,,,Akwesasne (Part) 59,3501007.0,35.0,45.0031277,-74.68694690000001
312 Queenston Street,Hamilton Niagara Haldimand Brant (Hnhb),Unger Nursing Homes Limited,,For-Profit,No,Yes,No,Yes,St Catharines, L2P2X4,65.0,15.0,"(0.0, 21.0]",0.0,5.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,tufford nursing home,,,,,St. Catharines,3526053.0,35.0,43.15938461,-79.21839749
133 Kennedy Road South,Central West,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Yes,Yes,Yes,Yes,Brampton, L6W3G3,159.0,52.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,tullamore care community,,,,,Brampton,3521010.0,35.0,43.68480267,-79.73603059999999
1310 Murphy Road,Erie St. Clair,S & R Nursing Homes Ltd.,,For-Profit,No,Yes,Yes,Yes,Sarnia, N7S6K5,60.0,13.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,twin lakes terrace long term care community,,,,,Sarnia,3538030.0,35.0,43.00307673,-82.36506926
1360 Maryhill Road,Waterloo Wellington,Twin Oaks Of Maryhill Inc.,,For-Profit,No,Yes,No,No,Maryhill, N0B2B0,31.0,18.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,twin oaks of maryhill,0,0,<5,Active,Woolwich,3530035.0,35.0,43.53642702,-80.39357269
1060 Eglinton Avenue East,Mississauga Halton,Tyndall Nursing Home Limited,,For-Profit,No,Yes,No,Yes,Mississauga, L4W1K3,151.0,48.0,"(46.0, 172.0]",3.0,22.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,tyndall nursing home,,,,,Mississauga,3521005.0,35.0,43.62835307,-79.62744866
60 Richview Road,Central,St. Demetrius (Ukrainian Catholic) Development Corporation,,Non-Profit,No,Yes,Yes,Yes,Etobicoke, M9A5E4,152.0,15.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,ukrainian canadian care centre,25,<5,<5,Active,Toronto,3520005.0,35.0,43.68434358,-79.51869943
4300 Highway #7,Central,Unionville Home Society,,Non-Profit,No,Yes,Yes,Yes,Unionville, L3R1L8,160.0,33.0,"(31.0, 46.0]",2.0,15.0,"(11.0, 16.0]",1.0,11.0,"(7.0, 11.0]",2.0,union villa,0,0,<5,Active,Markham,3519036.0,35.0,43.86143002,-79.31443048
4024 Twenty-Third Street,Hamilton Niagara Haldimand Brant (Hnhb),United Mennonite Home For The Aged,,Non-Profit,No,Yes,Yes,No,Vineland, L0R2C0,128.0,25.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,united mennonite home,,,,,Lincoln,3526057.0,35.0,43.157607500000005,-79.38808084
272 Wellington Street P. O. Box 1390,Hamilton Niagara Haldimand Brant (Hnhb),The Regional Municipality Of Niagara,,Municipal,No,Yes,Yes,Yes,Niagara-On-The-Lake, L0S1J0,80.0,24.0,"(21.0, 31.0]",1.0,11.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,upper canada lodge,,,,,Niagara-on-the-Lake,3526047.0,35.0,43.25020429999999,-79.0694642
88 Mintha Street P. O. Box 880,Champlain,Valley Manor Inc.,,Non-Profit,No,Yes,No,Yes,Barry's Bay, K0J1B0,90.0,21.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,valley manor nursing home,,,,,Madawaska Valley,3547030.0,35.0,45.48637478,-77.6878502
6400 Valley Way,Hamilton Niagara Haldimand Brant (Hnhb),955464 Ontario Limited,,For-Profit,Yes,Yes,Yes,Yes,Niagara Falls, L2E7E3,65.0,31.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,valley park lodge,,,,,Niagara Falls,3526043.0,35.0,43.0977475,-79.10129525
350 Burwell Road,South West,The Corporation Of The City Of St. Thomas,,Municipal,Yes,Yes,Yes,Yes,St. Thomas, N5P0A3,136.0,33.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,13.0,"(11.0, 44.0]",3.0,valleyview home,,,,,St. Thomas,3534021.0,35.0,42.80412155,-81.15985057
541 Finch Avenue West,Central,Advent Health Care Corporation,,Non-Profit,No,Yes,No,No,North York, M2R3Y3,174.0,57.0,"(46.0, 172.0]",3.0,23.0,"(16.0, 23.0]",2.0,15.0,"(11.0, 44.0]",3.0,valleyview residence,<5,<5,<5,Active,Toronto,3520005.0,35.0,43.77088320000001,-79.44630321
80 Allan Drive,Central West,Peel Housing Corporation,,Non-Profit,No,Yes,No,Yes,Bolton, L7E1P7,64.0,14.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,vera m. davis community care centre,,,,,Caledon,3521024.0,35.0,43.87348751,-79.72446771
914 Bathurst Street,Toronto Central,Vermont Square Ltc Inc. As General Partner Of Vermont Square Ltc Limited Partnership,Responsive Health Management,For-Profit,Yes,Yes,Yes,Yes,Toronto, M5R3G5,130.0,21.0,"(0.0, 21.0]",0.0,15.0,"(11.0, 16.0]",1.0,12.0,"(11.0, 44.0]",3.0,vermont square,<5,0,<5,Active,Toronto,3520005.0,35.0,43.66830209,-79.41276169
176 Victoria Avenue North,Hamilton Niagara Haldimand Brant (Hnhb),Mirdem Nursing Homes Ltd.,,For-Profit,No,Yes,Yes,Yes,Hamilton, L8L5G1,76.0,18.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,victoria gardens long term care,,,,,Hamilton,3525005.0,35.0,43.25834859,-79.8542586
220 Angeline Street South,Central East,The Corporation Of The City Of Kawartha Lakes,Sienna Senior Living,Municipal,Yes,Yes,Yes,Yes,Lindsay, K9V4R2,166.0,45.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,5.0,"(0.0, 5.0]",0.0,victoria manor home for the aged,,,,,Kawartha Lakes,3516010.0,35.0,44.33869223,-78.74399304
78 Ross Street,North Simcoe Muskoka,Victoria Village Inc.,Specialty Care Inc.,Non-Profit,Yes,Yes,Yes,Yes,Barrie, L4N1G3,128.0,35.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,19.0,"(11.0, 44.0]",3.0,victoria village manor,,,,,Barrie,3543042.0,35.0,44.391121999999996,-79.69850695
40 Playfair Avenue,Central,Villa Colombo Homes For The Aged Inc.,,Non-Profit,Yes,Yes,Yes,Yes,Toronto, M6B2P9,391.0,52.0,"(46.0, 172.0]",3.0,31.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,villa colombo homes for the aged,9,<5,11,Active,Toronto,3520005.0,35.0,43.71064079,-79.45648501
"10443 Highway 27, Kleinburg",Central,Villa Colombo Seniors Centre (Vaughan) Inc.,Universalcare Canada Inc.,Non-Profit,No,Yes,Yes,Yes,Vaughan, L0J1C0,160.0,45.0,"(31.0, 46.0]",2.0,40.0,"(23.0, 86.0]",3.0,29.0,"(11.0, 44.0]",3.0,villa colombo seniors centre (vaughan),24,11,16,Active,Vaughan,,35.0,43.839618,79.631803
175 Forum Drive,Mississauga Halton,Villa Forum,Chartwell Seniors Housing Reit,Non-Profit,No,Yes,Yes,Yes,Mississauga, L4Z4E5,160.0,38.0,"(31.0, 46.0]",2.0,13.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,villa forum,37,10,20,Active,Mississauga,3521005.0,35.0,43.61180807,-79.65152977
40 Friuli Court,Central,Friuli Long Term Care,Specialty Care Inc.,Non-Profit,Yes,Yes,Yes,Yes,Woodbridge, L4L9T3,168.0,34.0,"(31.0, 46.0]",2.0,13.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,villa leonardo gambin,31,11,23,Active,Vaughan,3519028.0,35.0,43.7661994,-79.57417395
1026 Baseline Road,Champlain,Villa Marconi Long Term Care Center,"Diversicare Canada Management Services Co., Inc.",Non-Profit,No,Yes,Yes,Yes,Ottawa, K2C0A6,128.0,53.0,"(46.0, 172.0]",3.0,40.0,"(23.0, 86.0]",3.0,21.0,"(11.0, 44.0]",3.0,villa marconi,,0,,Inactive,Ottawa,3506008.0,35.0,45.36599844,-75.72703304
241 Eighth Street P.O. Box 280,North East,The Lady Minto Hospital At Cochrane,,Non-Profit,No,Yes,Yes,Yes,Cochrane, P0L1C0,33.0,22.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,villa minto,,,,,Cochrane,3556042.0,35.0,49.06971147,-81.0205333
9 Myrtle Street,Erie St. Clair,Revera Long Term Care Inc.,,For-Profit,No,Yes,Yes,Yes,Ridgetown, N0P2C0,40.0,15.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,village on the ridge,,,,,Chatham-Kent,3536020.0,35.0,42.43530685,-81.88026626
229 Wellington Street,Erie St. Clair,Vision '74 Inc.,,Non-Profit,Yes,Yes,Yes,Yes,Sarnia, N7T1G9,146.0,38.0,"(31.0, 46.0]",2.0,12.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,vision nursing home,5,<5,<5,Active,Sarnia,3538030.0,35.0,42.96819132,-82.40364827
97 Mill Street P.O. Box 68,Central East,"Cvh (No. 6) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Yes,Yes,No,Yes,Warkworth, K0K3K0,60.0,24.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,warkworth place,,,,,Trent Hills,3514045.0,35.0,44.19868555,-77.89304385
401 William Street,North East,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,No,Yes,Yes,Yes,North Bay, P1A1X5,148.0,41.0,"(31.0, 46.0]",2.0,28.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,waters edge care community,,,,,North Bay,3548044.0,35.0,46.27873103,-79.44783366
344 Victoria Street,Erie St. Clair,Qcc Corp.,,For-Profit,Yes,Yes,Yes,Yes,Watford, N0M2S0,63.0,18.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,watford quality care centre,,,,,Warwick,3538043.0,35.0,42.95217584,-81.88556091
160 Wellesley Street East,Toronto Central,Drs. Paul And John Rekai Centre,,Non-Profit,Yes,Yes,Yes,Yes,Toronto, M4Y1J2,150.0,35.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,wellesley central place,43,16,21,Active,Toronto,3520005.0,35.0,43.66687279,-79.37566588
990 Edward Street North P.O. Box 1510,South East,"Arch Long Term Care Lp By Its General Partner, Arch Long Term Care Mgp, By Its Partners, Arch Long Term Care Gp Inc. And Arch Capital Management Corporation",Universalcare Canada Inc.,For-Profit,No,Yes,Yes,No,Prescott, K0E1T0,60.0,57.0,"(46.0, 172.0]",3.0,17.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,wellington house nursing home,,,,,Prescott,3507008.0,35.0,44.71934,-75.51915
802 Hager Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Rykka Care Centres Lp,,For-Profit,Yes,Yes,Yes,Yes,Burlington, L7S1X2,132.0,42.0,"(31.0, 46.0]",2.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,wellington park care centre,,,,,Burlington,3524002.0,35.0,43.33141191,-79.81188229
474 Wellington Road 18,Waterloo Wellington,Corporation Of The County Of Wellington,,Municipal,No,Yes,Yes,No,Fergus, N1M0A1,176.0,18.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,wellington terrace long-term care home,,0,,Inactive,Centre Wellington,3523025.0,35.0,43.696534,-80.400755
41 South Street West,Hamilton Niagara Haldimand Brant (Hnhb),City Of Hamilton,,Municipal,No,Yes,Yes,Yes,Dundas, L9H4C4,160.0,23.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,wentworth lodge,0,0,0,Active,Hamilton,3525005.0,35.0,43.25983089,-79.94970123
400 The West Mall,Mississauga Halton,Toronto Long-term Care Homes And Services,,Municipal,Yes,Yes,Yes,Yes,Etobicoke, M9C5S1,192.0,62.0,"(46.0, 172.0]",3.0,20.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,wesburn manor,<5,0,0,Active,Toronto,3520005.0,35.0,43.64388927,-79.56745924
"1673 County Road, 12 R. R. #1",South East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,No,Yes,No,Yes,Picton, K0K2T0,47.0,26.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,west lake terrace,,,,,Prince Edward County,3513020.0,35.0,43.92704133,-77.25758022
2370 Third Line,Mississauga Halton,Axr Operating (National) Lp,,For-Profit,No,Yes,Yes,Yes,Oakville, L6M4E2,133.0,33.0,"(31.0, 46.0]",2.0,15.0,"(11.0, 16.0]",1.0,11.0,"(7.0, 11.0]",2.0,west oak village,,,,,Oakville,3524001.0,35.0,43.44708343,-79.75633228
103 Pelham Road,Hamilton Niagara Haldimand Brant (Hnhb),Cvh (No.1) Lp,Extendicare (Canada) Inc.,For-Profit,Yes,Yes,Yes,Yes,St Catharines, L2S1S9,101.0,48.0,"(46.0, 172.0]",3.0,22.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,west park health centre,,,,,St. Catharines,3526053.0,35.0,43.140947,-79.25086429999999
82 Buttonwood Avenue,Toronto Central,West Park Healthcare Centre,Extendicare (Canada) Inc.,Non-Profit,Yes,Yes,Yes,Yes,Toronto, M6M2J5,200.0,61.0,"(46.0, 172.0]",3.0,28.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,west park long term care centre,57,20,31,Active,Toronto,3520005.0,35.0,43.68933979,-79.50788773
37 Wilkie Street,South East,Crown Ridge Health Care Services Inc.,,For-Profit,Yes,Yes,Yes,Yes,Belleville, K8P4E4,88.0,42.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,westgate lodge nursing home,,,,,Belleville,3512005.0,35.0,44.14702066,-77.40620279
590 Longworth Road,South West,Steeves & Rozema Enterprises Limited,,For-Profit,No,Yes,Yes,Yes,London, N6K4X9,160.0,86.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,westmount gardens long term care home,,,,,London,3539036.0,35.0,42.95042607,-81.30566973
2005 Lawrence Avenue West,Central,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,No,Yes,Yes,Yes,Toronto, M9N3V4,224.0,34.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,weston terrace care community,42,13,29,Active,Toronto,3520005.0,35.0,43.70123959,-79.51015143
1145 Albion Road,Central West,Revera Long Term Care Inc.,,For-Profit,Yes,Yes,Yes,Yes,Etobicoke, M9V4J7,242.0,50.0,"(46.0, 172.0]",3.0,17.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,westside,,<5,,Inactive,Toronto,3520005.0,35.0,43.73728579,-79.56777145
2281 Wikwemikong Way P.O. Box 114,North East,Wikwemikong Nursing Home Limited,,Non-Profit,Yes,Yes,No,Yes,Wikwemikong, P0P2J0,59.0,54.0,"(46.0, 172.0]",3.0,24.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,wikwemikong nursing home,<5,0,0,Active,Wikwemikong Unceded,3551043.0,35.0,45.80266553,-81.72321194
100 Ann Street P.O. Box 2200,South West,Wildwood Care Centre Inc.,,For-Profit,No,Yes,Yes,Yes,St. Marys, N4X1A1,60.0,25.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,wildwood care centre,,,,,St. Marys,3531016.0,35.0,43.26076283,-81.15463991
20B Cartier Road,North West,North Of Superior Healthcare Group,,Non-Profit,No,Yes,Yes,Yes,Terrace Bay, P0T2W0,22.0,9.0,"(0.0, 21.0]",0.0,5.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,wilkes terrace,,,,,Terrace Bay,3558054.0,35.0,48.78045446,-87.10460125
75 Fifth Avenue,North West,Sioux Lookout Meno-ya-win Health Centre,,Non-Profit,No,Yes,No,Yes,Sioux Lookout, P8T1K9,20.0,12.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,"william a. ""bill"" george extended care facility",,,,,,,,,
1020 Westney Road North,Central East,Axr Operating (National) Lp,,For-Profit,Yes,Yes,Yes,Yes,Ajax, L1T4K6,110.0,44.0,"(31.0, 46.0]",2.0,26.0,"(23.0, 86.0]",3.0,8.0,"(7.0, 11.0]",2.0,winbourne park,,0,,Inactive,Ajax,3518005.0,35.0,43.87711914,-79.0444691
5400 Steeles Avenue West,Central West,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,No,Yes,Yes,Yes,Woodbridge, L4L9S1,224.0,53.0,"(46.0, 172.0]",3.0,20.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,woodbridge vista care community,<5,0,<5,Active,Vaughan,3519028.0,35.0,43.75961009,-79.59777826
10260 Kennedy Road North,Central West,Specialty Care / Woodhall Park Inc.,,For-Profit,No,Yes,Yes,Yes,Brampton, L6Z4N7,147.0,38.0,"(31.0, 46.0]",2.0,16.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,woodhall park care community,,,,,Brampton,3521010.0,35.0,43.72036028,-79.78370712
325 Thames Street South,South West,County Of Oxford,,Municipal,No,Yes,No,No,Ingersoll, N5C2T8,34.0,20.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,9.0,"(7.0, 11.0]",2.0,woodingford lodge - ingersoll,,,,,Ingersoll,3532018.0,35.0,43.03178131,-80.8764522
52 Venison Street West,South West,County Of Oxford,,Municipal,Yes,Yes,Yes,No,Tillsonburg, N4G1V1,34.0,19.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,woodingford lodge - tillsonburg,,,,,Tillsonburg,3532004.0,35.0,42.86207678,-80.73465634
300 Juliana Drive,South West,County Of Oxford,,Municipal,Yes,Yes,No,No,Woodstock, N4V0A1,160.0,38.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,12.0,"(11.0, 44.0]",3.0,woodingford lodge - woodstock,,,,,Woodstock,3532042.0,35.0,43.10811442,-80.75668277
30 Milles Roches Road R. R. #1,Champlain,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,No,Yes,Yes,Yes,Long Sault, K0C1P0,119.0,44.0,"(31.0, 46.0]",2.0,22.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,woodland villa,<5,0,0,Active,South Stormont,3501011.0,35.0,45.03376712,-74.88721694
110 Lillian Crescent,North Simcoe Muskoka,Woods Park Care Centre Inc.,,For-Profit,Yes,Yes,Yes,Yes,Barrie, L4N5H7,123.0,31.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,woods park care centre,,0,,Inactive,Barrie,3543042.0,35.0,44.4026669,-79.71672256
291 Reynolds Street,Mississauga Halton,Halton Healthcare Ltc Inc.,Extendicare (Canada) Inc.,Non-Profit,No,Yes,Yes,Yes,Oakville, L6J3L5,128.0,34.0,"(31.0, 46.0]",2.0,8.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,wyndham manor long term care centre,,,,,Oakville,3524001.0,35.0,43.45245024,-79.67269066
